State FIPS code,Date,All merchant category codes spending,Accommodation and food service (ACF) spending,"Arts, entertainment, and recreation (AER)  spending",General merchandise stores (GEN) and apparel and accessories (AAP) spending,Grocery and food store (GRF)  spending,Health care and social assistance (HCS) spending ,Transportation and warehousing (TWS)  spending,"Retail spending, including grocery  (AAP, CEC, GEN, GRF, HIC, ETC, SGH) ","Retail spending, excluding grocery ((AAP, CEC, GEN, HIC, ETC, SGH) ",total spending
34,01/27/2020,-3.06,-2.55,2.85,-5.2,-4.7,-2.68,-0.688,-4.71,-4.77,-22.448
36,01/27/2020,-4.76,-3.96,-2.39,-5.69,-8.83,-4.03,-3.21,-7.78,-6.88,-42.77
44,01/27/2020,-2.38,12.0,5.32,-3.74,-9.19,-2.03,-41.1,-8.83,-8.43,-56.0
9,01/28/2020,-7.01,-5.33,-10.4,-7.01,-11.8,4.49,3.53,-6.9,-3.27,-36.690000000000005
25,01/28/2020,-6.8,-3.03,-9.03,-4.26,-12.4,-11.4,-2.15,-10.3,-8.09,-60.66
34,01/28/2020,-5.18,-2.67,-1.25,-6.35,-6.7,-7.51,1.69,-6.39,-6.17,-35.349999999999994
36,01/28/2020,-5.81,-4.2,-0.46,-5.21,-10.7,-7.73,-3.18,-8.42,-6.33,-46.23
44,01/28/2020,-1.29,11.2,-3.79,1.13,-3.83,4.13,3.66,-4.49,-5.43,2.58
9,01/29/2020,-5.95,0.297,-10.7,-3.87,-11.4,5.61,5.65,-6.96,-3.62,-24.993000000000002
25,01/29/2020,-5.72,-2.67,-6.7,-3.46,-10.4,-17.8,0.854,-8.63,-6.7,-55.50600000000001
34,01/29/2020,-4.89,-0.745,-1.51,-5.12,-6.59,-7.72,1.62,-5.61,-4.73,-30.404999999999998
